DTI PREDICTION SCORES:
Accuracy: 0.8036
F1-Score: 0.5795
ROC-AUC:  0.7983

ADR PREDICTION REGRESSION SCORES:
MSE: 0.0005
MAE: 0.0107
R2: -0.8845

Per-ADR Regression Metrics:
meddra_10002056: MSE=0.0002, MAE=0.0072, R2=0.0000
meddra_10002065: MSE=0.0003, MAE=0.0078, R2=-1.7422
meddra_10002091: MSE=0.0001, MAE=0.0062, R2=0.0000
meddra_10002153: MSE=0.0003, MAE=0.0095, R2=-6.3812
meddra_10002156: MSE=0.0003, MAE=0.0100, R2=0.0000
meddra_10002198: MSE=0.0033, MAE=0.0225, R2=-0.0581
meddra_10002199: MSE=0.0003, MAE=0.0093, R2=-0.5423
meddra_10002216: MSE=0.0004, MAE=0.0107, R2=-0.3428
meddra_10002218: MSE=0.0017, MAE=0.0187, R2=-0.0785
meddra_10002240: MSE=0.0007, MAE=0.0139, R2=0.0000
meddra_10002241: MSE=0.0001, MAE=0.0067, R2=0.0000
meddra_10002261: MSE=0.0004, MAE=0.0104, R2=-1.0742
meddra_10002272: MSE=0.0016, MAE=0.0274, R2=-0.1278
meddra_10002320: MSE=0.0003, MAE=0.0082, R2=-0.7548
meddra_10002321: MSE=0.0005, MAE=0.0114, R2=-0.4410
meddra_10002329: MSE=0.0008, MAE=0.0133, R2=-0.5529
meddra_10002368: MSE=0.0002, MAE=0.0088, R2=-1.7632
meddra_10002369: MSE=0.0001, MAE=0.0065, R2=0.0000
meddra_10002383: MSE=0.0006, MAE=0.0126, R2=-0.4825
meddra_10002388: MSE=0.0003, MAE=0.0110, R2=-11.0171
meddra_10002424: MSE=0.0021, MAE=0.0259, R2=-0.2363
meddra_10002429: MSE=0.0002, MAE=0.0077, R2=0.0000
meddra_10002449: MSE=0.0003, MAE=0.0112, R2=0.0000
meddra_10002471: MSE=0.0002, MAE=0.0087, R2=-1.8008
meddra_10002473: MSE=0.0004, MAE=0.0123, R2=-1.1132
meddra_10002500: MSE=0.0008, MAE=0.0146, R2=-1.4658
meddra_10002505: MSE=0.0003, MAE=0.0089, R2=-4.5833
meddra_10002509: MSE=0.0001, MAE=0.0059, R2=0.0000
meddra_10002510: MSE=0.0003, MAE=0.0088, R2=-2.3393
meddra_10002512: MSE=0.0004, MAE=0.0095, R2=-0.5652
meddra_10002535: MSE=0.0002, MAE=0.0077, R2=0.0000
meddra_10002553: MSE=0.0005, MAE=0.0104, R2=-0.5776
meddra_10002556: MSE=0.0002, MAE=0.0090, R2=0.0000
meddra_10002646: MSE=0.0013, MAE=0.0224, R2=-0.1771
meddra_10002652: MSE=0.0004, MAE=0.0127, R2=0.0000
meddra_10002653: MSE=0.0005, MAE=0.0114, R2=-14.5333
meddra_10002711: MSE=0.0008, MAE=0.0107, R2=-0.5939
meddra_10002774: MSE=0.0005, MAE=0.0126, R2=-4.1660
meddra_10002847: MSE=0.0004, MAE=0.0097, R2=-0.5101
meddra_10002855: MSE=0.0013, MAE=0.0242, R2=-0.2153
meddra_10002865: MSE=0.0002, MAE=0.0078, R2=0.0000
meddra_10002882: MSE=0.0002, MAE=0.0084, R2=0.0000
meddra_10002895: MSE=0.0003, MAE=0.0082, R2=-0.5936
meddra_10002942: MSE=0.0003, MAE=0.0098, R2=-2.0384
meddra_10002948: MSE=0.0003, MAE=0.0105, R2=-7.0172
meddra_10002953: MSE=0.0003, MAE=0.0092, R2=0.0000
meddra_10002957: MSE=0.0009, MAE=0.0115, R2=-0.2530
meddra_10002958: MSE=0.0010, MAE=0.0145, R2=-0.5007
meddra_10002959: MSE=0.0003, MAE=0.0119, R2=0.0000
meddra_10002965: MSE=0.0005, MAE=0.0104, R2=-0.8375
meddra_10002967: MSE=0.0006, MAE=0.0134, R2=-0.5808
meddra_10002969: MSE=0.0008, MAE=0.0099, R2=-0.2648
meddra_10002972: MSE=0.0005, MAE=0.0109, R2=-0.2493
meddra_10002974: MSE=0.0003, MAE=0.0112, R2=-2.5090
meddra_10003004: MSE=0.0005, MAE=0.0131, R2=0.0000
meddra_10003011: MSE=0.0011, MAE=0.0150, R2=-0.4745
meddra_10003020: MSE=0.0002, MAE=0.0079, R2=-4.1677
meddra_10003025: MSE=0.0002, MAE=0.0094, R2=0.0000
meddra_10003035: MSE=0.0003, MAE=0.0114, R2=0.0000
meddra_10003036: MSE=0.0005, MAE=0.0120, R2=-8.0692
meddra_10003040: MSE=0.0006, MAE=0.0136, R2=-1.7395
meddra_10003041: MSE=0.0019, MAE=0.0163, R2=-0.0518
meddra_10003046: MSE=0.0005, MAE=0.0093, R2=-0.1846
meddra_10003050: MSE=0.0005, MAE=0.0122, R2=-5.4191
meddra_10003051: MSE=0.0017, MAE=0.0168, R2=-0.0714
meddra_10003052: MSE=0.0002, MAE=0.0083, R2=0.0000
meddra_10003053: MSE=0.0018, MAE=0.0172, R2=-0.0808
meddra_10003054: MSE=0.0008, MAE=0.0110, R2=-0.0182
meddra_10003055: MSE=0.0008, MAE=0.0121, R2=-0.2764
meddra_10003059: MSE=0.0004, MAE=0.0124, R2=-5.6350
meddra_10003060: MSE=0.0002, MAE=0.0074, R2=-1.9257
meddra_10003061: MSE=0.0002, MAE=0.0092, R2=0.0000
meddra_10003062: MSE=0.0004, MAE=0.0118, R2=0.0000
meddra_10003074: MSE=0.0004, MAE=0.0120, R2=0.0000
meddra_10003076: MSE=0.0046, MAE=0.0224, R2=-0.0764
meddra_10003083: MSE=0.0006, MAE=0.0121, R2=-0.5358
meddra_10003084: MSE=0.0001, MAE=0.0070, R2=0.0000
meddra_10003119: MSE=0.0011, MAE=0.0172, R2=-0.1566
meddra_10003130: MSE=0.0004, MAE=0.0112, R2=-10.7986
meddra_10003175: MSE=0.0003, MAE=0.0103, R2=0.0000
meddra_10003178: MSE=0.0006, MAE=0.0102, R2=-0.1753
meddra_10003210: MSE=0.0003, MAE=0.0110, R2=0.0000
meddra_10003211: MSE=0.0002, MAE=0.0102, R2=0.0000
meddra_10003225: MSE=0.0003, MAE=0.0093, R2=0.0000
meddra_10003239: MSE=0.0013, MAE=0.0258, R2=-0.2230
meddra_10003246: MSE=0.0008, MAE=0.0156, R2=-0.3415
meddra_10003263: MSE=0.0003, MAE=0.0110, R2=0.0000
meddra_10003267: MSE=0.0002, MAE=0.0074, R2=0.0000
meddra_10003285: MSE=0.0006, MAE=0.0104, R2=-1.0586
meddra_10003416: MSE=0.0005, MAE=0.0120, R2=-1.4225
meddra_10003445: MSE=0.0010, MAE=0.0156, R2=-0.1718
meddra_10003458: MSE=0.0004, MAE=0.0105, R2=-1.2923
meddra_10003459: MSE=0.0002, MAE=0.0083, R2=0.0000
meddra_10003487: MSE=0.0001, MAE=0.0060, R2=0.0000
meddra_10003495: MSE=0.0005, MAE=0.0133, R2=0.0000
meddra_10003504: MSE=0.0003, MAE=0.0102, R2=-4.6234
meddra_10003525: MSE=0.0005, MAE=0.0136, R2=-5.3104
meddra_10003533: MSE=0.0002, MAE=0.0080, R2=0.0000
meddra_10003547: MSE=0.0003, MAE=0.0105, R2=-6.5779
meddra_10003549: MSE=0.0025, MAE=0.0329, R2=-0.2365
meddra_10003552: MSE=0.0004, MAE=0.0105, R2=-1.3076
meddra_10003553: MSE=0.0009, MAE=0.0143, R2=-0.0870
meddra_10003554: MSE=0.0003, MAE=0.0081, R2=-1.7302
meddra_10003560: MSE=0.0002, MAE=0.0091, R2=0.0000
meddra_10003565: MSE=0.0003, MAE=0.0100, R2=0.0000
meddra_10003566: MSE=0.0002, MAE=0.0077, R2=0.0000
meddra_10003586: MSE=0.0003, MAE=0.0099, R2=0.0000
meddra_10003591: MSE=0.0008, MAE=0.0170, R2=-0.7971
meddra_10003598: MSE=0.0004, MAE=0.0122, R2=-15.0343
meddra_10003601: MSE=0.0002, MAE=0.0074, R2=0.0000
meddra_10003620: MSE=0.0002, MAE=0.0082, R2=0.0000
meddra_10003629: MSE=0.0004, MAE=0.0125, R2=0.0000
meddra_10003637: MSE=0.0004, MAE=0.0108, R2=-6.6157
meddra_10003639: MSE=0.0002, MAE=0.0093, R2=0.0000
meddra_10003645: MSE=0.0004, MAE=0.0099, R2=-1.1656
meddra_10003656: MSE=0.0003, MAE=0.0104, R2=0.0000
meddra_10003658: MSE=0.0007, MAE=0.0146, R2=-0.3969
meddra_10003662: MSE=0.0005, MAE=0.0105, R2=-0.8389
meddra_10003668: MSE=0.0002, MAE=0.0085, R2=-5.5336
meddra_10003671: MSE=0.0007, MAE=0.0138, R2=-0.2713
meddra_10003673: MSE=0.0004, MAE=0.0109, R2=-1.4318
meddra_10003674: MSE=0.0002, MAE=0.0084, R2=-6.6897
meddra_10003677: MSE=0.0002, MAE=0.0070, R2=-3.4542
meddra_10003685: MSE=0.0003, MAE=0.0105, R2=0.0000
meddra_10003690: MSE=0.0002, MAE=0.0080, R2=0.0000
meddra_10003694: MSE=0.0002, MAE=0.0090, R2=0.0000
meddra_10003740: MSE=0.0001, MAE=0.0070, R2=0.0000
meddra_10003757: MSE=0.0004, MAE=0.0099, R2=-1.0829
meddra_10003778: MSE=0.0002, MAE=0.0091, R2=0.0000
meddra_10003785: MSE=0.0003, MAE=0.0122, R2=0.0000
meddra_10003791: MSE=0.0004, MAE=0.0108, R2=0.0000
meddra_10003846: MSE=0.0017, MAE=0.0159, R2=-0.0750
meddra_10003850: MSE=0.0002, MAE=0.0092, R2=0.0000
meddra_10003851: MSE=0.0001, MAE=0.0074, R2=0.0000
meddra_10003853: MSE=0.0002, MAE=0.0078, R2=0.0000
meddra_10003883: MSE=0.0001, MAE=0.0065, R2=-0.6128
meddra_10003885: MSE=0.0002, MAE=0.0096, R2=-7.6318
meddra_10003886: MSE=0.0002, MAE=0.0087, R2=-6.2664
meddra_10003899: MSE=0.0002, MAE=0.0085, R2=0.0000
meddra_10003986: MSE=0.0004, MAE=0.0130, R2=0.0000
meddra_10003988: MSE=0.0011, MAE=0.0203, R2=-0.1460
meddra_10003993: MSE=0.0003, MAE=0.0106, R2=0.0000
meddra_10003999: MSE=0.0006, MAE=0.0121, R2=-0.8211
meddra_10004049: MSE=0.0004, MAE=0.0122, R2=0.0000
meddra_10004052: MSE=0.0003, MAE=0.0108, R2=0.0000
meddra_10004055: MSE=0.0004, MAE=0.0141, R2=0.0000
meddra_10004056: MSE=0.0003, MAE=0.0088, R2=0.0000
meddra_10004059: MSE=0.0003, MAE=0.0097, R2=0.0000
meddra_10004064: MSE=0.0001, MAE=0.0070, R2=0.0000
meddra_10004070: MSE=0.0002, MAE=0.0073, R2=0.0000
meddra_10004073: MSE=0.0002, MAE=0.0080, R2=0.0000
meddra_10004074: MSE=0.0001, MAE=0.0069, R2=0.0000
meddra_10004078: MSE=0.0008, MAE=0.0091, R2=-0.2008
meddra_10004134: MSE=0.0002, MAE=0.0088, R2=0.0000
meddra_10004146: MSE=0.0010, MAE=0.0157, R2=-0.4225
meddra_10004204: MSE=0.0003, MAE=0.0092, R2=0.0000
meddra_10004207: MSE=0.0003, MAE=0.0104, R2=0.0000
meddra_10004223: MSE=0.0003, MAE=0.0095, R2=0.0000
meddra_10004243: MSE=0.0002, MAE=0.0072, R2=0.0000
meddra_10004277: MSE=0.0003, MAE=0.0100, R2=0.0000
meddra_10004398: MSE=0.0002, MAE=0.0098, R2=0.0000
meddra_10004446: MSE=0.0002, MAE=0.0086, R2=0.0000
meddra_10004542: MSE=0.0002, MAE=0.0090, R2=0.0000
meddra_10004555: MSE=0.0003, MAE=0.0116, R2=0.0000
meddra_10004663: MSE=0.0003, MAE=0.0086, R2=0.0000
meddra_10004670: MSE=0.0005, MAE=0.0120, R2=-4.0395
meddra_10004673: MSE=0.0003, MAE=0.0101, R2=0.0000
meddra_10004702: MSE=0.0003, MAE=0.0100, R2=-6.0664
meddra_10004705: MSE=0.0004, MAE=0.0109, R2=-1.6505
meddra_10004710: MSE=0.0004, MAE=0.0120, R2=0.0000
